Protein_1,Protein_2,pTM,ipTM,Ranking_confidence
Amblyomma-americanum_evm.model.contig-234199-1.1,P10144,0.84,0.86,0.856
Amblyomma-americanum_evm.model.contig-234199-1.1,Q92876,0.83,0.86,0.854
Amblyomma-americanum_evm.model.contig-234199-1.1,P07478,0.83,0.86,0.854
Amblyomma-americanum_evm.model.contig-234199-1.1,P23946,0.83,0.86,0.854
Amblyomma-americanum_evm.model.contig-114817-1.1,P08218,0.74,0.88,0.852
Amblyomma-americanum_evm.model.contig-76089-1.2,P17538,0.82,0.86,0.852
Amblyomma-americanum_evm.model.contig-240510-1.2,P23946,0.74,0.88,0.852
Amblyomma-americanum_evm.model.contig-76089-1.2,P08311,0.82,0.86,0.852
Amblyomma-americanum_evm.model.contig-48378-1.17,P24158,0.85,0.85,0.85
Amblyomma-americanum_evm.model.contig-240510-1.2,P08218,0.77,0.87,0.85
Amblyomma-americanum_evm.model.contig-76089-1.2,Q92876,0.81,0.86,0.85
Amblyomma-americanum_evm.model.contig-76089-1.2,P07478,0.81,0.86,0.85
Amblyomma-americanum_evm.model.contig-76089-1.2,Q8NHM4,0.81,0.86,0.85
Amblyomma-americanum_evm.model.contig-76089-1.2,Q9UKQ9,0.81,0.86,0.85
Amblyomma-americanum_evm.model.contig-48378-1.17,P51124,0.84,0.85,0.848
Amblyomma-americanum_evm.model.contig-128153-1.1,Q99895,0.76,0.87,0.848
Amblyomma-americanum_evm.model.contig-48378-1.17,P09093,0.84,0.85,0.848
Amblyomma-americanum_evm.model.contig-48378-1.17,Q9UKR0,0.83,0.85,0.846
Amblyomma-americanum_evm.model.contig-48378-1.17,Q9UKQ9,0.83,0.85,0.846
Amblyomma-americanum_evm.model.contig-48378-1.17,P00746,0.83,0.85,0.846
Amblyomma-americanum_evm.model.contig-48378-1.17,P49862,0.83,0.85,0.846
Amblyomma-americanum_evm.model.contig-240510-1.2,P10144,0.75,0.87,0.846
Amblyomma-americanum_evm.model.contig-234199-1.1,Q8NHM4,0.83,0.85,0.846
Amblyomma-americanum_evm.model.contig-234199-1.1,Q9UKQ9,0.83,0.85,0.846
Amblyomma-americanum_evm.model.contig-234199-1.1,P51124,0.83,0.85,0.846
Amblyomma-americanum_evm.model.contig-234199-1.1,P20151,0.83,0.85,0.846
Amblyomma-americanum_evm.model.contig-240510-1.2,P08311,0.74,0.87,0.844
Amblyomma-americanum_evm.model.contig-114817-1.1,P17538,0.73,0.87,0.842
Amblyomma-americanum_evm.model.contig-114817-1.1,Q6GPI1,0.73,0.87,0.842
Amblyomma-americanum_evm.model.contig-114817-1.1,P40313,0.73,0.87,0.842
Amblyomma-americanum_evm.model.contig-114817-1.1,P10144,0.73,0.87,0.842
Amblyomma-americanum_evm.model.contig-76089-1.2,P20718,0.81,0.85,0.842
Amblyomma-americanum_evm.model.contig-76089-1.2,P07477,0.81,0.85,0.842
Amblyomma-americanum_evm.model.contig-76089-1.2,P23946,0.81,0.85,0.842
Amblyomma-americanum_evm.model.contig-48378-1.17,Q9H2R5,0.84,0.84,0.84
Amblyomma-americanum_evm.model.contig-128153-1.1,Q6GPI1,0.76,0.86,0.84
Amblyomma-americanum_evm.model.contig-76089-1.2,P10144,0.8,0.85,0.84
Amblyomma-americanum_evm.model.contig-128153-1.1,P40313,0.79,0.85,0.838
Amblyomma-americanum_evm.model.contig-234199-1.1,P08861,0.83,0.84,0.838
Amblyomma-americanum_evm.model.contig-234199-1.1,P09093,0.83,0.84,0.838
Amblyomma-americanum_evm.model.contig-234199-1.1,P24158,0.83,0.84,0.838
Amblyomma-americanum_evm.model.contig-234199-1.1,P07477,0.83,0.84,0.838
Amblyomma-americanum_evm.model.contig-48378-1.17,Q8NHM4,0.82,0.84,0.836
Amblyomma-americanum_evm.model.contig-234199-1.1,P49862,0.82,0.84,0.836
Amblyomma-americanum_evm.model.contig-234199-1.1,P06870,0.82,0.84,0.836
Amblyomma-americanum_evm.model.contig-76089-1.2,Q9UNI1,0.82,0.84,0.836
Amblyomma-americanum_evm.model.contig-114817-1.1,Q9UNI1,0.73,0.86,0.834
Amblyomma-americanum_evm.model.contig-128153-1.1,P17538,0.77,0.85,0.834
Amblyomma-americanum_evm.model.contig-76089-1.2,Q15661,0.81,0.84,0.834
Amblyomma-americanum_evm.model.contig-240510-1.2,Q92876,0.73,0.86,0.834
Amblyomma-americanum_evm.model.contig-240510-1.2,P20718,0.73,0.86,0.834
Amblyomma-americanum_evm.model.contig-195898-1.1,P08217,0.61,0.89,0.834
Amblyomma-americanum_evm.model.contig-114817-1.1,P08311,0.72,0.86,0.832
Amblyomma-americanum_evm.model.contig-114817-1.1,P23946,0.72,0.86,0.832
Amblyomma-americanum_evm.model.contig-76089-1.2,Q9UKR0,0.8,0.84,0.832
Amblyomma-americanum_evm.model.contig-76089-1.2,Q9Y5K2,0.8,0.84,0.832
Amblyomma-americanum_evm.model.contig-195898-1.1,P40313,0.6,0.89,0.832
Amblyomma-americanum_evm.model.contig-195898-1.1,Q99895,0.6,0.89,0.832
Amblyomma-americanum_evm.model.contig-240510-1.2,P09093,0.75,0.85,0.83
Amblyomma-americanum_evm.model.contig-48378-1.17,O60259,0.83,0.83,0.83
Amblyomma-americanum_evm.model.contig-240510-1.2,P24158,0.75,0.85,0.83
Amblyomma-americanum_evm.model.contig-114817-1.1,Q8NHM4,0.71,0.86,0.83
Amblyomma-americanum_evm.model.contig-234199-1.1,Q15661,0.83,0.83,0.83
Amblyomma-americanum_evm.model.contig-240510-1.2,P08861,0.74,0.85,0.828
Amblyomma-americanum_evm.model.contig-240510-1.2,Q9UKR0,0.74,0.85,0.828
Amblyomma-americanum_evm.model.contig-234199-1.1,P00746,0.82,0.83,0.828
Amblyomma-americanum_evm.model.contig-234199-1.1,Q9Y5K2,0.82,0.83,0.828
Amblyomma-americanum_evm.model.contig-234199-1.1,Q9H2R5,0.82,0.83,0.828
Amblyomma-americanum_evm.model.contig-114817-1.1,P08861,0.73,0.85,0.826
Amblyomma-americanum_evm.model.contig-114817-1.1,P09093,0.73,0.85,0.826
Amblyomma-americanum_evm.model.contig-240510-1.2,P00746,0.73,0.85,0.826
Amblyomma-americanum_evm.model.contig-240510-1.2,P51124,0.73,0.85,0.826
Amblyomma-americanum_evm.model.contig-234199-1.1,O60259,0.81,0.83,0.826
Amblyomma-americanum_evm.model.contig-76089-1.2,P00746,0.81,0.83,0.826
Amblyomma-americanum_evm.model.contig-195898-1.1,P17538,0.61,0.88,0.826
Amblyomma-americanum_evm.model.contig-48378-1.17,P07477,0.8,0.83,0.824
Amblyomma-americanum_evm.model.contig-114817-1.1,P20718,0.72,0.85,0.824
Amblyomma-americanum_evm.model.contig-76089-1.2,P06870,0.8,0.83,0.824
Amblyomma-americanum_evm.model.contig-76089-1.2,P09093,0.8,0.83,0.824
Amblyomma-americanum_evm.model.contig-76089-1.2,Q8NF86,0.8,0.83,0.824
Amblyomma-americanum_evm.model.contig-195898-1.1,Q6GPI1,0.6,0.88,0.824
Amblyomma-americanum_evm.model.contig-114817-1.1,P51124,0.71,0.85,0.822
Amblyomma-americanum_evm.model.contig-48378-1.17,P20160,0.83,0.82,0.822
Amblyomma-americanum_evm.model.contig-114817-1.1,Q92876,0.71,0.85,0.822
Amblyomma-americanum_evm.model.contig-114817-1.1,Q9UKQ9,0.71,0.85,0.822
Amblyomma-americanum_evm.model.contig-48378-1.17,Q9P0G3,0.83,0.82,0.822
Amblyomma-americanum_evm.model.contig-240510-1.2,P49862,0.74,0.84,0.82
Amblyomma-americanum_evm.model.contig-240510-1.2,Q9Y5K2,0.73,0.84,0.818
Amblyomma-americanum_evm.model.contig-240510-1.2,Q9H2R5,0.73,0.84,0.818
Amblyomma-americanum_evm.model.contig-234199-1.1,Q8NF86,0.81,0.82,0.818
Amblyomma-americanum_evm.model.contig-234199-1.1,P20160,0.81,0.82,0.818
Amblyomma-americanum_evm.model.contig-48378-1.17,Q8NF86,0.81,0.82,0.818
Amblyomma-americanum_evm.model.contig-195898-1.1,P08311,0.61,0.87,0.818
Amblyomma-americanum_evm.model.contig-114817-1.1,P20151,0.72,0.84,0.816
Amblyomma-americanum_evm.model.contig-114817-1.1,P24158,0.71,0.84,0.814
Amblyomma-americanum_evm.model.contig-48378-1.17,P07478,0.79,0.82,0.814
Amblyomma-americanum_evm.model.contig-48378-1.17,Q9Y5K2,0.83,0.81,0.814
Amblyomma-americanum_evm.model.contig-128153-1.1,Q9H2R5,0.75,0.83,0.814
Amblyomma-americanum_evm.model.contig-114817-1.1,P49862,0.71,0.84,0.814
Amblyomma-americanum_evm.model.contig-76089-1.2,O60259,0.79,0.82,0.814
Amblyomma-americanum_evm.model.contig-76089-1.2,Q9H2R5,0.79,0.82,0.814
Amblyomma-americanum_evm.model.contig-195898-1.1,P08218,0.63,0.86,0.814
Amblyomma-americanum_evm.model.contig-30987-1.8,P08311,0.55,0.88,0.814
Amblyomma-americanum_evm.model.contig-195898-1.1,P07478,0.59,0.87,0.814
Amblyomma-americanum_evm.model.contig-240510-1.2,Q8NF86,0.74,0.83,0.812
Amblyomma-americanum_evm.model.contig-48378-1.17,P08246,0.82,0.81,0.812
Amblyomma-americanum_evm.model.contig-114817-1.1,Q9Y5K2,0.7,0.84,0.812
Amblyomma-americanum_evm.model.contig-76089-1.2,Q9P0G3,0.78,0.82,0.812
Amblyomma-americanum_evm.model.contig-128153-1.1,P07477,0.78,0.82,0.812
Amblyomma-americanum_evm.model.contig-30987-1.8,P08311,0.54,0.88,0.812
Amblyomma-americanum_evm.model.contig-240510-1.2,Q8NHM4,0.73,0.83,0.81
Amblyomma-americanum_evm.model.contig-128153-1.1,P08311,0.77,0.82,0.81
Amblyomma-americanum_evm.model.contig-234199-1.1,Q9P0G3,0.81,0.81,0.81
Amblyomma-americanum_evm.model.contig-128153-1.1,P07478,0.77,0.82,0.81
Amblyomma-americanum_evm.model.contig-240510-1.2,O60259,0.72,0.83,0.808
Amblyomma-americanum_evm.model.contig-30987-1.8,Q9UNI1,0.56,0.87,0.808
Amblyomma-americanum_evm.model.contig-30987-1.8,Q6GPI1,0.56,0.87,0.808
Amblyomma-americanum_evm.model.contig-30987-1.8,P08217,0.56,0.87,0.808
Amblyomma-americanum_evm.model.contig-128153-1.1,P08218,0.79,0.81,0.806
Amblyomma-americanum_evm.model.contig-128153-1.1,Q92876,0.75,0.82,0.806
Amblyomma-americanum_evm.model.contig-128153-1.1,Q9UKQ9,0.75,0.82,0.806
Amblyomma-americanum_evm.model.contig-76089-1.2,P24158,0.79,0.81,0.806
Amblyomma-americanum_evm.model.contig-195898-1.1,P20151,0.59,0.86,0.806
Amblyomma-americanum_evm.model.contig-30987-1.8,Q9UKR0,0.55,0.87,0.806
Amblyomma-americanum_evm.model.contig-30987-1.8,P40313,0.55,0.87,0.806
Amblyomma-americanum_evm.model.contig-195898-1.1,Q92876,0.58,0.86,0.804
Amblyomma-americanum_evm.model.contig-195898-1.1,P07477,0.58,0.86,0.804
Amblyomma-americanum_evm.model.contig-30987-1.8,P23946,0.53,0.87,0.802
Amblyomma-americanum_evm.model.contig-240510-1.2,P20160,0.72,0.82,0.8
Amblyomma-americanum_evm.model.contig-128153-1.1,Q9UNI1,0.76,0.81,0.8
Amblyomma-americanum_evm.model.contig-30987-1.8,P17538,0.56,0.86,0.8
Amblyomma-americanum_evm.model.contig-30987-1.8,Q99895,0.56,0.86,0.8
Amblyomma-americanum_evm.model.contig-30987-1.8,P08218,0.56,0.86,0.8
Amblyomma-americanum_evm.model.contig-128153-1.1,Q8NHM4,0.75,0.81,0.798
Amblyomma-americanum_evm.model.contig-30987-1.8,Q92876,0.55,0.86,0.798
Amblyomma-americanum_evm.model.contig-195898-1.1,Q9UKR0,0.59,0.85,0.798
Amblyomma-americanum_evm.model.contig-114817-1.1,Q9H2R5,0.7,0.82,0.796
Amblyomma-americanum_evm.model.contig-128153-1.1,P24158,0.74,0.81,0.796
Amblyomma-americanum_evm.model.contig-195898-1.1,Q9H2R5,0.62,0.84,0.796
Amblyomma-americanum_evm.model.contig-30987-1.8,P20718,0.54,0.86,0.796
Amblyomma-americanum_evm.model.contig-195898-1.1,P23946,0.58,0.85,0.796
Amblyomma-americanum_evm.model.contig-128153-1.1,Q9Y5K2,0.73,0.81,0.794
Amblyomma-americanum_evm.model.contig-114817-1.1,P20160,0.69,0.82,0.794
Amblyomma-americanum_evm.model.contig-76089-1.2,P20160,0.77,0.8,0.794
Amblyomma-americanum_evm.model.contig-128153-1.1,P20151,0.76,0.8,0.792
Amblyomma-americanum_evm.model.contig-240510-1.2,Q9P0G3,0.72,0.81,0.792
Amblyomma-americanum_evm.model.contig-234199-1.1,P08246,0.8,0.79,0.792
Amblyomma-americanum_evm.model.contig-114817-1.1,Q8NF86,0.71,0.81,0.79
Amblyomma-americanum_evm.model.contig-240510-1.2,P08246,0.71,0.81,0.79
Amblyomma-americanum_evm.model.contig-195898-1.1,P08861,0.59,0.84,0.79
Amblyomma-americanum_evm.model.contig-30987-1.8,P51124,0.55,0.85,0.79
Amblyomma-americanum_evm.model.contig-30987-1.8,P09093,0.55,0.85,0.79
Amblyomma-americanum_evm.model.contig-195898-1.1,P51124,0.58,0.84,0.788
Amblyomma-americanum_evm.model.contig-30987-1.8,P00746,0.54,0.85,0.788
Amblyomma-americanum_evm.model.contig-30987-1.8,Q9Y5K2,0.54,0.85,0.788
Amblyomma-americanum_evm.model.contig-30987-1.8,Q9H2R5,0.54,0.85,0.788
Amblyomma-americanum_evm.model.contig-195898-1.1,Q9Y5K2,0.58,0.84,0.788
Amblyomma-americanum_evm.model.contig-30987-1.8,P10144,0.53,0.85,0.786
Amblyomma-americanum_evm.model.contig-30987-1.8,P49862,0.53,0.85,0.786
Amblyomma-americanum_evm.model.contig-195898-1.1,P49862,0.57,0.84,0.786
Amblyomma-americanum_evm.model.contig-114817-1.1,Q15661,0.72,0.8,0.784
Amblyomma-americanum_evm.model.contig-128153-1.1,P49862,0.76,0.79,0.784
Amblyomma-americanum_evm.model.contig-195898-1.1,Q9UNI1,0.59,0.83,0.782
Amblyomma-americanum_evm.model.contig-30987-1.8,Q8NF86,0.55,0.84,0.782
Amblyomma-americanum_evm.model.contig-114817-1.1,Q9P0G3,0.7,0.8,0.78
Amblyomma-americanum_evm.model.contig-128153-1.1,P10144,0.74,0.79,0.78
Amblyomma-americanum_evm.model.contig-195898-1.1,O60259,0.58,0.83,0.78
Amblyomma-americanum_evm.model.contig-195898-1.1,Q8NHM4,0.58,0.83,0.78
Amblyomma-americanum_evm.model.contig-114817-1.1,P08246,0.69,0.8,0.778
Amblyomma-americanum_evm.model.contig-76089-1.2,P08246,0.76,0.78,0.776
Amblyomma-americanum_evm.model.contig-195898-1.1,P09093,0.6,0.82,0.776
Amblyomma-americanum_evm.model.contig-76089-1.2,P08861,0.79,0.77,0.774
Amblyomma-americanum_evm.model.contig-114817-1.1,Q9UKR0,0.7,0.79,0.772
Amblyomma-americanum_evm.model.contig-195898-1.1,Q15661,0.58,0.82,0.772
Amblyomma-americanum_evm.model.contig-30987-1.8,P20151,0.54,0.83,0.772
Amblyomma-americanum_evm.model.contig-128153-1.1,P51124,0.69,0.79,0.77
Amblyomma-americanum_evm.model.contig-30987-1.8,Q9P0G3,0.53,0.83,0.77
Amblyomma-americanum_evm.model.contig-195898-1.1,Q9UKQ9,0.57,0.82,0.77
Amblyomma-americanum_evm.model.contig-128153-1.1,P08861,0.72,0.78,0.768
Amblyomma-americanum_evm.model.contig-30987-1.8,P08861,0.55,0.82,0.766
Amblyomma-americanum_evm.model.contig-128153-1.1,Q9UKR0,0.74,0.77,0.764
Amblyomma-americanum_evm.model.contig-195898-1.1,Q9P0G3,0.58,0.81,0.764
Amblyomma-americanum_evm.model.contig-195898-1.1,Q8NF86,0.6,0.8,0.76
Amblyomma-americanum_evm.model.contig-195898-1.1,P10144,0.6,0.8,0.76
Amblyomma-americanum_evm.model.contig-128153-1.1,Q9P0G3,0.71,0.77,0.758
Amblyomma-americanum_evm.model.contig-30987-1.8,P06870,0.55,0.81,0.758
Amblyomma-americanum_evm.model.contig-30987-1.8,P07477,0.54,0.81,0.756
Amblyomma-americanum_evm.model.contig-30987-1.8,P20160,0.54,0.81,0.756
Amblyomma-americanum_evm.model.contig-195898-1.1,P20160,0.58,0.8,0.756
Amblyomma-americanum_evm.model.contig-30987-1.8,Q9UKQ9,0.53,0.81,0.754
Amblyomma-americanum_evm.model.contig-30987-1.8,P24158,0.53,0.81,0.754
Amblyomma-americanum_evm.model.contig-30987-1.8,O60259,0.52,0.81,0.752
Amblyomma-americanum_evm.model.contig-128153-1.1,O60259,0.71,0.76,0.75
Amblyomma-americanum_evm.model.contig-128153-1.1,P06870,0.7,0.76,0.748
Amblyomma-americanum_evm.model.contig-195898-1.1,P08246,0.57,0.79,0.746
Amblyomma-americanum_evm.model.contig-234199-1.1,A1L453,0.76,0.74,0.744
Amblyomma-americanum_evm.model.contig-240510-1.2,A1L453,0.72,0.75,0.744
Amblyomma-americanum_evm.model.contig-128153-1.1,P20160,0.72,0.75,0.744
Amblyomma-americanum_evm.model.contig-76089-1.2,A1L453,0.75,0.74,0.742
Amblyomma-americanum_evm.model.contig-195898-1.1,P24158,0.58,0.78,0.74
Amblyomma-americanum_evm.model.contig-195898-1.1,P00746,0.57,0.78,0.738
Amblyomma-americanum_evm.model.contig-30987-1.8,P07478,0.54,0.78,0.732
Amblyomma-americanum_evm.model.contig-114817-1.1,P06870,0.69,0.74,0.73
Amblyomma-americanum_evm.model.contig-114817-1.1,A1L453,0.68,0.74,0.728
Amblyomma-americanum_evm.model.contig-128153-1.1,P08246,0.71,0.73,0.726
Amblyomma-americanum_evm.model.contig-128153-1.1,Q8NF86,0.74,0.72,0.724
Amblyomma-americanum_evm.model.contig-8661-1.1,P08218,0.76,0.71,0.72
Amblyomma-americanum_evm.model.contig-114817-1.1,P07478,0.69,0.72,0.714
Amblyomma-americanum_evm.model.contig-8661-1.1,Q92876,0.69,0.72,0.714
Amblyomma-americanum_evm.model.contig-30987-1.8,P08246,0.53,0.76,0.714
Amblyomma-americanum_evm.model.contig-195898-1.1,A1L453,0.6,0.74,0.712
Amblyomma-americanum_evm.model.contig-30987-1.8,Q8NHM4,0.54,0.75,0.708
Amblyomma-americanum_evm.model.contig-128153-1.1,Q15661,0.72,0.69,0.696
Amblyomma-americanum_evm.model.contig-195898-1.1,P06870,0.56,0.73,0.696
Amblyomma-americanum_evm.model.contig-128153-1.1,P09093,0.67,0.7,0.694
Amblyomma-americanum_evm.model.contig-76089-1.2,P20151,0.7,0.69,0.692
Amblyomma-americanum_evm.model.contig-195898-1.1,P20718,0.56,0.72,0.688
Amblyomma-americanum_evm.model.contig-8661-1.1,P08246,0.69,0.67,0.674
Amblyomma-americanum_evm.model.contig-30987-1.8,A1L453,0.53,0.7,0.666
Amblyomma-americanum_evm.model.contig-30987-1.8,Q15661,0.53,0.69,0.658
Amblyomma-americanum_evm.model.contig-128153-1.1,A1L453,0.7,0.62,0.636
Amblyomma-americanum_evm.model.contig-8661-1.1,P08217,0.78,0.59,0.628
Amblyomma-americanum_evm.model.contig-8661-1.1,O60259,0.68,0.61,0.624
Amblyomma-americanum_evm.model.contig-240510-1.2,Q9UKQ9,0.7,0.6,0.62
Amblyomma-americanum_evm.model.contig-114817-1.1,P07477,0.66,0.6,0.612
Amblyomma-americanum_evm.model.contig-8661-1.1,P40313,0.75,0.57,0.606
Amblyomma-americanum_evm.model.contig-8661-1.1,Q9H2R5,0.72,0.56,0.592
Amblyomma-americanum_evm.model.contig-8661-1.1,P20160,0.73,0.55,0.586
Amblyomma-americanum_evm.model.contig-114817-1.1,O60259,0.64,0.57,0.584
Amblyomma-americanum_evm.model.contig-8661-1.1,Q99895,0.75,0.52,0.566
Amblyomma-americanum_evm.model.contig-128153-1.1,P23946,0.64,0.54,0.56
Amblyomma-americanum_evm.model.contig-8661-1.1,P23946,0.69,0.49,0.53
Amblyomma-americanum_evm.model.contig-8661-1.1,P20151,0.72,0.48,0.528
Amblyomma-americanum_evm.model.contig-8661-1.1,P51124,0.69,0.43,0.482
Amblyomma-americanum_evm.model.contig-8661-1.1,P09093,0.71,0.39,0.454
Amblyomma-americanum_evm.model.contig-8661-1.1,P08861,0.7,0.39,0.452
Amblyomma-americanum_evm.model.contig-8661-1.1,A1L453,0.67,0.39,0.446
Amblyomma-americanum_evm.model.contig-8661-1.1,Q15661,0.72,0.37,0.44
Amblyomma-americanum_evm.model.contig-8661-1.1,P24158,0.71,0.33,0.406
Amblyomma-americanum_evm.model.contig-8661-1.1,Q9P0G3,0.69,0.32,0.394
Amblyomma-americanum_evm.model.contig-48378-1.17,P06870,0.61,0.33,0.386
Amblyomma-americanum_evm.model.contig-8661-1.1,P17538,0.73,0.29,0.378
Amblyomma-americanum_evm.model.contig-8661-1.1,Q9UNI1,0.71,0.29,0.374
Amblyomma-americanum_evm.model.contig-8661-1.1,P07477,0.7,0.29,0.372
Amblyomma-americanum_evm.model.contig-8661-1.1,P06870,0.71,0.28,0.366
Amblyomma-americanum_evm.model.contig-8661-1.1,Q8NF86,0.71,0.28,0.366
Amblyomma-americanum_evm.model.contig-8661-1.1,Q6GPI1,0.73,0.27,0.362
Amblyomma-americanum_evm.model.contig-8661-1.1,Q9Y5K2,0.69,0.28,0.362
Amblyomma-americanum_evm.model.contig-8661-1.1,P00746,0.7,0.27,0.356
Amblyomma-americanum_evm.model.contig-8661-1.1,P49862,0.69,0.26,0.346
Amblyomma-americanum_evm.model.contig-8661-1.1,P07478,0.7,0.25,0.34
Amblyomma-americanum_evm.model.contig-8661-1.1,Q9UKQ9,0.7,0.25,0.34
Amblyomma-americanum_evm.model.contig-76089-1.2,P49862,0.68,0.25,0.336
Amblyomma-americanum_evm.model.contig-8661-1.1,Q8NHM4,0.7,0.24,0.332
Amblyomma-americanum_evm.model.contig-8661-1.1,Q9UKR0,0.7,0.24,0.332
Amblyomma-americanum_evm.model.contig-240510-1.2,P07478,0.65,0.25,0.33
Amblyomma-americanum_evm.model.contig-8661-1.1,P08311,0.7,0.23,0.324
Amblyomma-americanum_evm.model.contig-8661-1.1,P10144,0.69,0.23,0.322
Amblyomma-americanum_evm.model.contig-8661-1.1,P20718,0.7,0.22,0.316
Amblyomma-americanum_evm.model.contig-240510-1.2,Q15661,0.64,0.23,0.312
Amblyomma-americanum_evm.model.contig-240510-1.2,P20151,0.64,0.23,0.312
Amblyomma-americanum_evm.model.contig-240510-1.2,P06870,0.64,0.23,0.312
Amblyomma-americanum_evm.model.contig-240510-1.2,P07477,0.63,0.23,0.31
Amblyomma-americanum_evm.model.contig-48378-1.17,A1L453,0.56,0.24,0.304
Amblyomma-americanum_evm.model.contig-128153-1.1,P20718,0.63,0.21,0.294
Amblyomma-americanum_evm.model.contig-128153-1.1,P00746,0.63,0.21,0.294
Amblyomma-americanum_evm.model.contig-76089-1.2,P51124,0.67,0.2,0.294
Amblyomma-americanum_evm.model.contig-48378-1.17,Q15661,0.58,0.21,0.284
Amblyomma-americanum_evm.model.contig-114817-1.1,P00746,0.59,0.2,0.278
Amblyomma-americanum_evm.model.contig-48378-1.17,P20151,0.57,0.2,0.274
