protid,Entry
AF-Q2XXR0-F1-model_v4,Q2XXR0
AF-D2Y295-F1-model_v4,D2Y295
AF-C0JAY2-F1-model_v4,C0JAY2
AF-C8YJB3-F1-model_v4,C8YJB3
AF-Q9BPE9-F1-model_v4,Q9BPE9
AF-C0JB28-F1-model_v4,C0JB28
AF-P0C5I7-F1-model_v4,P0C5I7
AF-P60589-F1-model_v4,P60589
AF-P00629-F1-model_v4,P00629
AF-Q9PW36-F1-model_v4,Q9PW36
AF-P58923-F1-model_v4,P58923
AF-C8CK76-F1-model_v4,C8CK76
AF-Q696W1-F1-model_v4,Q696W1
AF-P0C551-F1-model_v4,P0C551
AF-C0JAS4-F1-model_v4,C0JAS4
AF-D2Y233-F1-model_v4,D2Y233
AF-P0C905-F1-model_v4,P0C905
AF-P82416-F1-model_v4,P82416
AF-B6DCR2-F1-model_v4,B6DCR2
AF-P24333-F1-model_v4,P24333
AF-Q86QU1-F1-model_v4,Q86QU1
AF-O93515-F1-model_v4,O93515
AF-P86822-F1-model_v4,P86822
AF-P01522-F1-model_v4,P01522
AF-P0DM71-F1-model_v4,P0DM71
AF-D2Y2L8-F1-model_v4,D2Y2L8
AF-C0JB15-F1-model_v4,C0JB15
AF-Q9BPF4-F1-model_v4,Q9BPF4
AF-P0DMA1-F1-model_v4,P0DMA1
AF-P19000-F1-model_v4,P19000
AF-Q9U6Z6-F1-model_v4,Q9U6Z6
AF-P0DUQ8-F1-model_v4,P0DUQ8
AF-P83894-F1-model_v4,P83894
AF-P86539-F1-model_v4,P86539
AF-A0A125S9F2-F1-model_v4,A0A125S9F2
AF-P00614-F1-model_v4,P00614
AF-Q5MJP4-F1-model_v4,Q5MJP4
AF-P84509-F1-model_v4,P84509
AF-B1P1D2-F1-model_v4,B1P1D2
AF-P59887-F1-model_v4,P59887
AF-P11495-F1-model_v4,P11495
AF-D2Y2E3-F1-model_v4,D2Y2E3
AF-D2Y1X9-F1-model_v4,D2Y1X9
AF-Q3SB09-F1-model_v4,Q3SB09
AF-Q8MQS8-F1-model_v4,Q8MQS8
AF-P0DP54-F1-model_v4,P0DP54
AF-Q1I169-F1-model_v4,Q1I169
AF-P0C1U2-F1-model_v4,P0C1U2
AF-P0C1F8-F1-model_v4,P0C1F8
AF-P0DJP9-F1-model_v4,P0DJP9
AF-P56636-F1-model_v4,P56636
AF-P11057-F1-model_v4,P11057
AF-C0HKZ6-F1-model_v4,C0HKZ6
AF-Q9PRT7-F1-model_v4,Q9PRT7
AF-P0DJJ8-F1-model_v4,P0DJJ8
AF-P0C2A3-F1-model_v4,P0C2A3
AF-X1WB75-F1-model_v4,X1WB75
AF-P0DKT6-F1-model_v4,P0DKT6
AF-C0HJW2-F1-model_v4,C0HJW2
AF-P85266-F1-model_v4,P85266
AF-P0DPY5-F1-model_v4,P0DPY5
AF-Q3BER1-F1-model_v4,Q3BER1
AF-Q6B8D2-F1-model_v4,Q6B8D2
AF-P45628-F1-model_v4,P45628
AF-P0DKN7-F1-model_v4,P0DKN7
AF-P0DSM4-F1-model_v4,P0DSM4
AF-P25668-F1-model_v4,P25668
AF-P04362-F1-model_v4,P04362
AF-A0A218QWZ7-F1-model_v4,A0A218QWZ7
AF-P85314-F1-model_v4,P85314
AF-P0CI08-F1-model_v4,P0CI08
AF-P55816-F1-model_v4,P55816
AF-F8S101-F1-model_v4,F8S101
AF-G8XQX1-F1-model_v4,G8XQX1
AF-F5CPD9-F1-model_v4,F5CPD9
AF-P59357-F1-model_v4,P59357
AF-P35779-F1-model_v4,P35779
AF-B3EWT7-F1-model_v4,B3EWT7
AF-C0K3N1-F1-model_v4,C0K3N1
AF-P0CI93-F1-model_v4,P0CI93
AF-P31719-F1-model_v4,P31719
AF-P22828-F1-model_v4,P22828
AF-E7CZZ1-F1-model_v4,E7CZZ1
AF-P0DPZ8-F1-model_v4,P0DPZ8
AF-J3S3W5-F1-model_v4,J3S3W5
AF-P0CH47-F1-model_v4,P0CH47
AF-H1ZZI7-F1-model_v4,H1ZZI7
AF-A0A345GPN1-F1-model_v4,A0A345GPN1
AF-P0DL44-F1-model_v4,P0DL44
AF-A0A068B6Q6-F1-model_v4,A0A068B6Q6
AF-P84693-F1-model_v4,P84693
AF-P86543-F1-model_v4,P86543
AF-D2Y2B9-F1-model_v4,D2Y2B9
AF-Q8MUB1-F1-model_v4,Q8MUB1
AF-P56215-F1-model_v4,P56215
AF-P01417-F1-model_v4,P01417
AF-Q9BPH5-F1-model_v4,Q9BPH5
AF-P61898-F1-model_v4,P61898
AF-Q5G8B7-F1-model_v4,Q5G8B7
AF-B1P1C8-F1-model_v4,B1P1C8
AF-P0CY71-F1-model_v4,P0CY71
AF-C0HLL4-F1-model_v4,C0HLL4
AF-P59866-F1-model_v4,P59866
AF-D6C4K4-F1-model_v4,D6C4K4
AF-P0C830-F1-model_v4,P0C830
AF-B1P1J3-F1-model_v4,B1P1J3
AF-A0A346CED7-F1-model_v4,A0A346CED7
AF-D2Y2K2-F1-model_v4,D2Y2K2
AF-Q56TT9-F1-model_v4,Q56TT9
AF-P0DMU1-F1-model_v4,P0DMU1
AF-A0A2I6EDM2-F1-model_v4,A0A2I6EDM2
AF-Q9TWG1-F1-model_v4,Q9TWG1
AF-M5B4R7-F1-model_v4,M5B4R7
AF-Q7LZF6-F1-model_v4,Q7LZF6
AF-B6DCU8-F1-model_v4,B6DCU8
AF-Q7M425-F1-model_v4,Q7M425
AF-Q5Y4U3-F1-model_v4,Q5Y4U3
AF-P0C8E0-F1-model_v4,P0C8E0
AF-D2Y249-F1-model_v4,D2Y249
AF-Q9Y0X6-F1-model_v4,Q9Y0X6
AF-Q66S03-F1-model_v4,Q66S03
AF-P86497-F1-model_v4,P86497
AF-P0DM90-F1-model_v4,P0DM90
AF-P21150-F1-model_v4,P21150
AF-A0A023W0W9-F1-model_v4,A0A023W0W9
AF-P0CAQ8-F1-model_v4,P0CAQ8
AF-Q2XXL6-F1-model_v4,Q2XXL6
AF-P0DL79-F1-model_v4,P0DL79
AF-A0A0B5ADT3-F1-model_v4,A0A0B5ADT3
AF-E5L0E6-F1-model_v4,E5L0E6
AF-D2Y2A4-F1-model_v4,D2Y2A4
AF-P0C5G6-F1-model_v4,P0C5G6
AF-Q1A3Q7-F1-model_v4,Q1A3Q7
AF-C0HLF2-F1-model_v4,C0HLF2
AF-Q9PUH3-F1-model_v4,Q9PUH3
AF-D6C4H9-F1-model_v4,D6C4H9
AF-Q9BHA0-F1-model_v4,Q9BHA0
AF-P0DME6-F1-model_v4,P0DME6
AF-Q9BPB3-F1-model_v4,Q9BPB3
AF-C0JB52-F1-model_v4,C0JB52
AF-D9U2A7-F1-model_v4,D9U2A7
AF-F8J4S0-F1-model_v4,F8J4S0
AF-Q9PVF3-F1-model_v4,Q9PVF3
AF-I6R1R5-F1-model_v4,I6R1R5
AF-A0A2P1BRP3-F1-model_v4,A0A2P1BRP3
AF-P0C8U7-F1-model_v4,P0C8U7
AF-F8QN54-F1-model_v4,F8QN54
AF-B6DCV5-F1-model_v4,B6DCV5
AF-P0DM36-F1-model_v4,P0DM36
AF-Q9BP43-F1-model_v4,Q9BP43
AF-Q9W7J4-F1-model_v4,Q9W7J4
AF-D2Y274-F1-model_v4,D2Y274
AF-C0JAW3-F1-model_v4,C0JAW3
AF-B6DCL4-F1-model_v4,B6DCL4
AF-Q53B50-F1-model_v4,Q53B50
AF-P0CAR5-F1-model_v4,P0CAR5
AF-A8HDK6-F1-model_v4,A8HDK6
AF-C0H690-F1-model_v4,C0H690
AF-Q9TWM7-F1-model_v4,Q9TWM7
AF-P0C8M2-F1-model_v4,P0C8M2
AF-P0DM89-F1-model_v4,P0DM89
AF-Q9N633-F1-model_v4,Q9N633
AF-B6DCN0-F1-model_v4,B6DCN0
AF-D2Y250-F1-model_v4,D2Y250
AF-C0JAU7-F1-model_v4,C0JAU7
AF-Q8UW26-F1-model_v4,Q8UW26
AF-P82475-F1-model_v4,P82475
AF-V9QFH8-F1-model_v4,V9QFH8
AF-Q2I2Q9-F1-model_v4,Q2I2Q9
AF-P0C8W3-F1-model_v4,P0C8W3
AF-E2S066-F1-model_v4,E2S066
AF-B6DCT1-F1-model_v4,B6DCT1
AF-Q9TWF8-F1-model_v4,Q9TWF8
AF-P58786-F1-model_v4,P58786
AF-Q9BP67-F1-model_v4,Q9BP67
AF-D2Y3T5-F1-model_v4,D2Y3T5
AF-B1A4F7-F1-model_v4,B1A4F7
AF-O16846-F1-model_v4,O16846
AF-P0C8D9-F1-model_v4,P0C8D9
AF-P0DM12-F1-model_v4,P0DM12
AF-C0JB76-F1-model_v4,C0JB76
AF-P01495-F1-model_v4,P01495
AF-A0A515MEN7-F1-model_v4,A0A515MEN7
AF-P0C829-F1-model_v4,P0C829
AF-Q9TW08-F1-model_v4,Q9TW08
AF-P0CB20-F1-model_v4,P0CB20
AF-P46114-F1-model_v4,P46114
AF-P00597-F1-model_v4,P00597
AF-B1P1B1-F1-model_v4,B1P1B1
AF-P0CY68-F1-model_v4,P0CY68
AF-P80671-F1-model_v4,P80671
AF-D2Y2C0-F1-model_v4,D2Y2C0
AF-A0A1P8NVT3-F1-model_v4,A0A1P8NVT3
AF-Q53B49-F1-model_v4,Q53B49
AF-A7LI91-F1-model_v4,A7LI91
AF-Q69CJ8-F1-model_v4,Q69CJ8
AF-B6D434-F1-model_v4,B6D434
AF-A1X8B8-F1-model_v4,A1X8B8
AF-P0DN54-F1-model_v4,P0DN54
AF-Q2I2R4-F1-model_v4,Q2I2R4
AF-C7C1L2-F1-model_v4,C7C1L2
AF-P0CAZ7-F1-model_v4,P0CAZ7
AF-P34075-F1-model_v4,P34075
AF-P0DTY2-F1-model_v4,P0DTY2
AF-Q5Y4W7-F1-model_v4,Q5Y4W7
AF-Q1W694-F1-model_v4,Q1W694
AF-P46066-F1-model_v4,P46066
AF-P29601-F1-model_v4,P29601
AF-Q5K0C9-F1-model_v4,Q5K0C9
AF-A2CKF6-F1-model_v4,A2CKF6
AF-D2Y2I6-F1-model_v4,D2Y2I6
AF-P80963-F1-model_v4,P80963
AF-B1P1H7-F1-model_v4,B1P1H7
AF-D6C4I0-F1-model_v4,D6C4I0
AF-P0C6A4-F1-model_v4,P0C6A4
AF-Q1L777-F1-model_v4,Q1L777
AF-C1IBY4-F1-model_v4,C1IBY4
AF-P24159-F1-model_v4,P24159
AF-P0DUT6-F1-model_v4,P0DUT6
AF-B4XSZ2-F1-model_v4,B4XSZ2
AF-P0DL60-F1-model_v4,P0DL60
AF-A0A0K8TU78-F1-model_v4,A0A0K8TU78
AF-P81861-F1-model_v4,P81861
AF-W4VSI1-F1-model_v4,W4VSI1
AF-P0DUN7-F1-model_v4,P0DUN7
AF-P86687-F1-model_v4,P86687
AF-Q9BPJ1-F1-model_v4,Q9BPJ1
AF-P01433-F1-model_v4,P01433
AF-P83405-F1-model_v4,P83405
AF-P25671-F1-model_v4,P25671
AF-B4XT06-F1-model_v4,B4XT06
AF-I0DEB5-F1-model_v4,I0DEB5
AF-S0F1N6-F1-model_v4,S0F1N6
AF-P69657-F1-model_v4,P69657
AF-Q27049-F1-model_v4,Q27049
AF-Q8AY41-F1-model_v4,Q8AY41
AF-P69837-F1-model_v4,P69837
AF-P0DQF2-F1-model_v4,P0DQF2
AF-P83080-F1-model_v4,P83080
AF-P60214-F1-model_v4,P60214
AF-P0CF03-F1-model_v4,P0CF03
AF-P0DJK1-F1-model_v4,P0DJK1
AF-Q18DC8-F1-model_v4,Q18DC8
AF-B6DD43-F1-model_v4,B6DD43
AF-Q6H2Z4-F1-model_v4,Q6H2Z4
AF-Q3SB10-F1-model_v4,Q3SB10
AF-P0DQO9-F1-model_v4,P0DQO9
AF-B3EWV3-F1-model_v4,B3EWV3
AF-B5KF94-F1-model_v4,B5KF94
AF-P0CE78-F1-model_v4,P0CE78
AF-P0DJQ0-F1-model_v4,P0DJQ0
AF-Q2VBP4-F1-model_v4,Q2VBP4
AF-P0C1G1-F1-model_v4,P0C1G1
AF-P45697-F1-model_v4,P45697
AF-P0DJ77-F1-model_v4,P0DJ77
AF-P69945-F1-model_v4,P69945
AF-B8XH46-F1-model_v4,B8XH46
AF-P0C257-F1-model_v4,P0C257
AF-C0HJU6-F1-model_v4,C0HJU6
AF-P68413-F1-model_v4,P68413
AF-P0C1M7-F1-model_v4,P0C1M7
AF-Q90WA1-F1-model_v4,Q90WA1
AF-Q91506-F1-model_v4,Q91506
AF-P56569-F1-model_v4,P56569
AF-P0C1W6-F1-model_v4,P0C1W6
AF-C0HKB3-F1-model_v4,C0HKB3
AF-P0CI11-F1-model_v4,P0CI11
AF-A0A0F7YYX3-F1-model_v4,A0A0F7YYX3
AF-B3EWF4-F1-model_v4,B3EWF4
AF-O76198-F1-model_v4,O76198
AF-P56612-F1-model_v4,P56612
AF-B8XGZ8-F1-model_v4,B8XGZ8
AF-M5BGS2-F1-model_v4,M5BGS2
AF-P35760-F1-model_v4,P35760
AF-C0HKQ9-F1-model_v4,C0HKQ9
AF-F5CPE0-F1-model_v4,F5CPE0
AF-P0DMY4-F1-model_v4,P0DMY4
AF-P00630-F1-model_v4,P00630
AF-P00984-F1-model_v4,P00984
AF-D2Y2G7-F1-model_v4,D2Y2G7
AF-Q9N6A4-F1-model_v4,Q9N6A4
AF-B1P1F6-F1-model_v4,B1P1F6
AF-Q5K0D3-F1-model_v4,Q5K0D3
AF-Q9BPD0-F1-model_v4,Q9BPD0
AF-C0JB31-F1-model_v4,C0JB31
AF-P60590-F1-model_v4,P60590
AF-A0A7S8MVA6-F1-model_v4,A0A7S8MVA6
AF-P0DL81-F1-model_v4,P0DL81
AF-P61409-F1-model_v4,P61409
AF-F6JWV0-F1-model_v4,F6JWV0
AF-P86806-F1-model_v4,P86806
AF-B6DCP6-F1-model_v4,B6DCP6
AF-C7DQC0-F1-model_v4,C7DQC0
AF-P0DM55-F1-model_v4,P0DM55
AF-P84836-F1-model_v4,P84836
AF-Q56VR3-F1-model_v4,Q56VR3
AF-Q5FZI5-F1-model_v4,Q5FZI5
AF-D2Y217-F1-model_v4,D2Y217
AF-B6DCJ7-F1-model_v4,B6DCJ7
AF-P0C7B1-F1-model_v4,P0C7B1
AF-A0A4Y5X186-F1-model_v4,A0A4Y5X186
AF-P0DOZ0-F1-model_v4,P0DOZ0
AF-Q58G94-F1-model_v4,Q58G94
AF-K7XFK5-F1-model_v4,K7XFK5
AF-J3SBQ3-F1-model_v4,J3SBQ3
AF-A2CJE3-F1-model_v4,A2CJE3
AF-P0DL27-F1-model_v4,P0DL27
AF-D2Y1Y0-F1-model_v4,D2Y1Y0
AF-P01474-F1-model_v4,P01474
AF-A0A1P8NVS9-F1-model_v4,A0A1P8NVS9
AF-P81792-F1-model_v4,P81792
AF-P84510-F1-model_v4,P84510
AF-Q2PG83-F1-model_v4,Q2PG83
AF-D2Y2M1-F1-model_v4,D2Y2M1
AF-F1CJ80-F1-model_v4,F1CJ80
AF-P0DUP1-F1-model_v4,P0DUP1
AF-P0C6E3-F1-model_v4,P0C6E3
AF-A8N285-F1-model_v4,A8N285
AF-B5KL36-F1-model_v4,B5KL36
AF-B5L5P3-F1-model_v4,B5L5P3
AF-Q86QT8-F1-model_v4,Q86QT8
AF-A0A0S4FKT4-F1-model_v4,A0A0S4FKT4
AF-P05620-F1-model_v4,P05620
AF-P0DM68-F1-model_v4,P0DM68
AF-Q2XXP4-F1-model_v4,Q2XXP4
AF-Q9I834-F1-model_v4,Q9I834
AF-Q9BP86-F1-model_v4,Q9BP86
AF-C9E1S2-F1-model_v4,C9E1S2
AF-P0CC15-F1-model_v4,P0CC15
AF-Q2LD49-F1-model_v4,Q2LD49
AF-Q7SZE2-F1-model_v4,Q7SZE2
AF-P0DN13-F1-model_v4,P0DN13
AF-B6DCZ0-F1-model_v4,B6DCZ0
AF-A6MFK7-F1-model_v4,A6MFK7
AF-G1AS75-F1-model_v4,G1AS75
AF-B6DD04-F1-model_v4,B6DD04
AF-P60253-F1-model_v4,P60253
AF-P23806-F1-model_v4,P23806
AF-P0CJ10-F1-model_v4,P0CJ10
AF-P0DQB5-F1-model_v4,P0DQB5
AF-P35781-F1-model_v4,P35781
AF-Q2VBN2-F1-model_v4,Q2VBN2
AF-P0DJ96-F1-model_v4,P0DJ96
AF-P0DKQ8-F1-model_v4,P0DKQ8
AF-Q09GK1-F1-model_v4,Q09GK1
AF-P0CD70-F1-model_v4,P0CD70
AF-P0CH24-F1-model_v4,P0CH24
AF-D2N116-F1-model_v4,D2N116
AF-Q90X24-F1-model_v4,Q90X24
AF-P0DPU0-F1-model_v4,P0DPU0
AF-P31981-F1-model_v4,P31981
AF-P0DKX3-F1-model_v4,P0DKX3
AF-P0CI56-F1-model_v4,P0CI56
AF-B6DD39-F1-model_v4,B6DD39
AF-P69762-F1-model_v4,P69762
AF-P0DQH3-F1-model_v4,P0DQH3
AF-P0DQA8-F1-model_v4,P0DQA8
AF-B0VXV4-F1-model_v4,B0VXV4
AF-B3EWX2-F1-model_v4,B3EWX2
AF-P85031-F1-model_v4,P85031
AF-C5J896-F1-model_v4,C5J896
AF-D8UWD8-F1-model_v4,D8UWD8
AF-C5H5D6-F1-model_v4,C5H5D6
AF-P0DQR2-F1-model_v4,P0DQR2
AF-P0DKR5-F1-model_v4,P0DKR5
AF-F8J2D3-F1-model_v4,F8J2D3
AF-A0A348G5W2-F1-model_v4,A0A348G5W2
AF-P0CH19-F1-model_v4,P0CH19
AF-A0A0J9X1W9-F1-model_v4,A0A0J9X1W9
AF-C0HJK0-F1-model_v4,C0HJK0
AF-B7FDI1-F1-model_v4,B7FDI1
AF-Q5EHP4-F1-model_v4,Q5EHP4
AF-P83255-F1-model_v4,P83255
AF-P0DSK7-F1-model_v4,P0DSK7
AF-P0DPE7-F1-model_v4,P0DPE7
AF-Q9NJC7-F1-model_v4,Q9NJC7
AF-B8XH01-F1-model_v4,B8XH01
AF-C0HK04-F1-model_v4,C0HK04
AF-P0CH51-F1-model_v4,P0CH51
AF-Q8JFX9-F1-model_v4,Q8JFX9
AF-C0HJF3-F1-model_v4,C0HJF3
AF-Q75WG5-F1-model_v4,Q75WG5
AF-P62022-F1-model_v4,P62022
AF-Q6Q250-F1-model_v4,Q6Q250
AF-C0HJU9-F1-model_v4,C0HJU9
AF-P0C258-F1-model_v4,P0C258
AF-P84034-F1-model_v4,P84034
AF-S0F1M4-F1-model_v4,S0F1M4
AF-P15228-F1-model_v4,P15228
AF-P0DJ78-F1-model_v4,P0DJ78
AF-P45698-F1-model_v4,P45698
AF-Q6X5S2-F1-model_v4,Q6X5S2
AF-P0DJR2-F1-model_v4,P0DJR2
AF-C0HKQ6-F1-model_v4,C0HKQ6
AF-B3EWU1-F1-model_v4,B3EWU1
AF-P0C1W9-F1-model_v4,P0C1W9
AF-Q4LCT3-F1-model_v4,Q4LCT3
AF-P0CI85-F1-model_v4,P0CI85
AF-Q91509-F1-model_v4,Q91509
AF-P85079-F1-model_v4,P85079
AF-P0DQE0-F1-model_v4,P0DQE0
AF-P0C1M8-F1-model_v4,P0C1M8
AF-Q8AYA3-F1-model_v4,Q8AYA3
AF-P68421-F1-model_v4,P68421
AF-P0DPX3-F1-model_v4,P0DPX3
AF-A0A3G3C7R5-F1-model_v4,A0A3G3C7R5
AF-P85270-F1-model_v4,P85270
AF-A0A6B9KZ89-F1-model_v4,A0A6B9KZ89
AF-P0C185-F1-model_v4,P0C185
AF-C0HJV4-F1-model_v4,C0HJV4
AF-P69658-F1-model_v4,P69658
AF-P0DKU0-F1-model_v4,P0DKU0
AF-P0DPK9-F1-model_v4,P0DPK9
AF-Q6H3D5-F1-model_v4,Q6H3D5
AF-P0DJ45-F1-model_v4,P0DJ45
AF-A0A0B5ABD5-F1-model_v4,A0A0B5ABD5
AF-P0DSL2-F1-model_v4,P0DSL2
AF-P0DQO6-F1-model_v4,P0DQO6
AF-P0CE77-F1-model_v4,P0CE77
AF-Q68PG3-F1-model_v4,Q68PG3
AF-P0DJB5-F1-model_v4,P0DJB5
AF-E7CLN3-F1-model_v4,E7CLN3
AF-P69838-F1-model_v4,P69838
AF-P0C1N5-F1-model_v4,P0C1N5
AF-P84843-F1-model_v4,P84843
AF-Q5Y4W8-F1-model_v4,Q5Y4W8
AF-P0DM20-F1-model_v4,P0DM20
AF-P83911-F1-model_v4,P83911
AF-Q9BP55-F1-model_v4,Q9BP55
AF-P0CAZ8-F1-model_v4,P0CAZ8
AF-B6DCW3-F1-model_v4,B6DCW3
AF-Q7SYF1-F1-model_v4,Q7SYF1
AF-Q9TWL1-F1-model_v4,Q9TWL1
AF-D1MGU1-F1-model_v4,D1MGU1
AF-P0CAS3-F1-model_v4,P0CAS3
AF-D2Y262-F1-model_v4,D2Y262
AF-C0JAV5-F1-model_v4,C0JAV5
AF-Q9W7K2-F1-model_v4,Q9W7K2
AF-A0A7S8MU78-F1-model_v4,A0A7S8MU78
AF-B6DCM2-F1-model_v4,B6DCM2
AF-Q53B46-F1-model_v4,Q53B46
AF-Q45Z46-F1-model_v4,Q45Z46
AF-P82813-F1-model_v4,P82813
AF-Q8I6R5-F1-model_v4,Q8I6R5
AF-P0DUN8-F1-model_v4,P0DUN8
AF-P0C5F0-F1-model_v4,P0C5F0
AF-D2DGD3-F1-model_v4,D2DGD3
AF-Q9DF56-F1-model_v4,Q9DF56
AF-Q95P90-F1-model_v4,Q95P90
AF-J3S835-F1-model_v4,J3S835
AF-A0A7S8MVF3-F1-model_v4,A0A7S8MVF3
AF-P0CB12-F1-model_v4,P0CB12
AF-C0HLG4-F1-model_v4,C0HLG4
AF-B1P1H8-F1-model_v4,B1P1H8
AF-A0A141SFN4-F1-model_v4,A0A141SFN4
AF-P0DUG3-F1-model_v4,P0DUG3
AF-D2Y2I9-F1-model_v4,D2Y2I9
AF-Q9BPC5-F1-model_v4,Q9BPC5
AF-C0JB44-F1-model_v4,C0JB44
AF-Q9BP68-F1-model_v4,Q9BP68
AF-P0DTZ0-F1-model_v4,P0DTZ0
AF-Q9I841-F1-model_v4,Q9I841
AF-Q2I2Q6-F1-model_v4,Q2I2Q6
AF-P0DN66-F1-model_v4,P0DN66
AF-Q9TXD8-F1-model_v4,Q9TXD8
AF-A6MFL2-F1-model_v4,A6MFL2
AF-P85528-F1-model_v4,P85528
AF-Q8UVZ7-F1-model_v4,Q8UVZ7
AF-C0JAU8-F1-model_v4,C0JAU8
AF-Q8UW29-F1-model_v4,Q8UW29
AF-Q90221-F1-model_v4,Q90221
AF-P01401-F1-model_v4,P01401
AF-Q9BPI3-F1-model_v4,Q9BPI3
AF-P00598-F1-model_v4,P00598
AF-P0CY67-F1-model_v4,P0CY67
AF-B3FIS5-F1-model_v4,B3FIS5
AF-P84685-F1-model_v4,P84685
AF-P0DL52-F1-model_v4,P0DL52
AF-Q9I8X0-F1-model_v4,Q9I8X0
AF-D2Y2P5-F1-model_v4,D2Y2P5
AF-Q71QJ4-F1-model_v4,Q71QJ4
AF-P30288-F1-model_v4,P30288
AF-A0A2I6EDL4-F1-model_v4,A0A2I6EDL4
AF-P0C6B6-F1-model_v4,P0C6B6
AF-P59870-F1-model_v4,P59870
AF-D6C4J2-F1-model_v4,D6C4J2
AF-Q6EER2-F1-model_v4,Q6EER2
AF-C0JB79-F1-model_v4,C0JB79
AF-Q9TVK3-F1-model_v4,Q9TVK3
AF-Q802B2-F1-model_v4,Q802B2
AF-D2Y2J4-F1-model_v4,D2Y2J4
AF-D5J9S0-F1-model_v4,D5J9S0
AF-P0DJL4-F1-model_v4,P0DJL4
AF-P08900-F1-model_v4,P08900
AF-Q3HXY4-F1-model_v4,Q3HXY4
AF-P0DQA7-F1-model_v4,P0DQA7
AF-P0CJ22-F1-model_v4,P0CJ22
AF-P0C350-F1-model_v4,P0C350
AF-O13069-F1-model_v4,O13069
AF-B6DD36-F1-model_v4,B6DD36
AF-Q2YHJ3-F1-model_v4,Q2YHJ3
AF-P0CI59-F1-model_v4,P0CI59
AF-A6YR23-F1-model_v4,A6YR23
AF-Q9NJC8-F1-model_v4,Q9NJC8
AF-A0A6B9L900-F1-model_v4,A0A6B9L900
AF-P0DPV2-F1-model_v4,P0DPV2
AF-P0DSK8-F1-model_v4,P0DSK8
AF-P0C164-F1-model_v4,P0C164
AF-C0HJB4-F1-model_v4,C0HJB4
AF-Q90W39-F1-model_v4,Q90W39
AF-B2ZBC0-F1-model_v4,B2ZBC0
AF-J3SFJ3-F1-model_v4,J3SFJ3
AF-A0A6B9L4T1-F1-model_v4,A0A6B9L4T1
AF-P0CH16-F1-model_v4,P0CH16
AF-P0DPL3-F1-model_v4,P0DPL3
AF-Q867F4-F1-model_v4,Q867F4
AF-A0A2I4HXH5-F1-model_v4,A0A2I4HXH5
AF-P25496-F1-model_v4,P25496
AF-P0DQQ0-F1-model_v4,P0DQQ0
